"stop_id","stop_name","stop_lat","stop_lon","location_type","platform_code"
"253111","Essener Straße","49.4212189","8.5082231","0","A"
"253221","Distelsand","49.4283411","8.5314169","0","A"
"253222","Distelsand","49.427845","8.5316511","0","B"
"253301","Holbeinstraße","49.4815161","8.5118431","0","2"
"253302","Holbeinstraße","49.4808789","8.5137831","0","1"
"253411","Karl-Schwaner-Straße","49.4191269","8.5337261","0","A"
"253412","Karl-Schwaner-Straße","49.4191789","8.5336989","0","B"
"253511","Leutweinstraße","49.4197461","8.5302761","0","A"
"253512","Leutweinstraße","49.42012","8.5283631","0","B"
"253711","Lüderitzstraße","49.4192139","8.5351361","0","A"
"253712","Lüderitzstraße","49.4191439","8.534965","0","B"
"253911","Martinistraße","49.4431439","8.5267731","0","B"
"253912","Martinistraße","49.4432611","8.5270961","0","A"
"254011","Martinskirche","49.4176189","8.5274289","0","A"
"254012","Martinskirche","49.4177131","8.5271769","0","B"
"254111","EMBL","49.3837831","8.7098489","0","A"
"254211","Münchwälderstraße","49.42168","8.5344711","0","A"
"254212","Münchwälderstraße","49.4217211","8.5350281","0","B"
"254321","Neuhofer Straße","49.4350831","8.52609","0","A"
"254322","Neuhofer Straße","49.43551","8.52565","0","B"
"254401","Rheinau Karlsplatz","49.4390319","8.5229819","0","A"
"254402","Rheinau Karlsplatz","49.4385589","8.5233231","0","B"
"254404","Rheinau Karlsplatz","49.4386231","8.5227211","0","D"
"254411","Rheinau Karlsplatz","49.4389739","8.5228019","0","C"
"254511","Pfingstberg","49.4459889","8.5291711","0","B"
"254512","Pfingstberg","49.446205","8.52971","0","A"
"254711","Rohrhofer Straße","49.42064","8.5257489","0","A"
"254712","Rohrhofer Straße","49.4208681","8.5259281","0","B"
"254811","Rotterdamer Straße Süd","49.4213239","8.5154089","0","A"
"254812","Rotterdamer Straße Süd","49.4214061","8.5145831","0","C"
"254814","Rotterdamer Straße Süd","49.4222239","8.5149331","0","D"
"254816","Rotterdamer Straße Süd","49.4206931","8.5146631","0","B"
"254911","Ruhrorter Straße","49.4214231","8.5206281","0","A"
"254912","Ruhrorter Straße","49.4214761","8.5191281","0","B"
"255001","Sandrain","49.4435831","8.5147889","0","A"
"255002","Sandrain","49.4427711","8.5163789","0","B"
"255111","Pigagestraße","49.4139839","8.5280839","0","A"
"255112","Pigagestraße","49.4137969","8.5281469","0","B"
"255211","Gerhart-Hauptmann-Schule","49.4146211","8.54014","0","A"
"255212","Gerhart-Hauptmann-Schule","49.4148431","8.5401761","0","B"
"255321","Waldseestraße","49.4319989","8.5284531","0","A"
"255322","Waldseestraße","49.4315311","8.5288031","0","B"
"255511","Bartholomäuskirche","49.5456489","8.4468319","0","A"
"255512","Bartholomäuskirche","49.54604","8.4467061","0","B"
"255612","Blumenauer Weg","49.5555161","8.4482239","0","A"
"255701","Bürstadter Straße","49.5352089","8.453255","0","A"
"255702","Bürstadter Straße","49.5354889","8.4529581","0","B"
