trip_id,arrival_time,departure_time,stop_sequence,stop_id
22-1-1-64920,18:07:00,18:08:15,4,126101
22-1-1-64920,18:09:00,18:09:15,5,125601
22-1-1-64920,18:10:00,18:10:15,6,125201
22-1-1-64920,18:11:00,18:11:15,7,427501
22-1-1-64920,18:12:00,18:12:15,8,427404
22-1-1-64920,18:13:00,18:13:15,9,427202
22-1-1-64920,18:15:00,18:15:15,10,679421
22-1-1-64920,18:16:00,18:16:15,11,679101
22-1-1-64920,18:18:00,18:18:15,12,119321
22-1-1-64920,18:20:00,18:20:15,13,116821
22-1-1-64920,18:21:00,18:21:15,14,114601
22-2-1022-70380,19:33:00,19:33:15,1,114602
22-2-1022-70380,19:34:00,19:34:15,2,116822
22-2-1022-70380,19:35:00,19:36:15,3,119322
22-2-1022-70380,19:37:00,19:37:15,4,679102
22-2-1022-70380,19:38:00,19:38:15,5,679422
22-2-1022-70380,19:40:00,19:40:15,6,427201
22-2-1022-70380,19:41:00,19:41:15,7,427403
22-2-1022-70380,19:43:00,19:43:15,8,427502
22-2-1022-70380,19:44:00,19:44:15,9,125202
22-2-1022-70380,19:45:00,19:45:15,10,125602
22-2-1022-70380,19:47:00,19:47:15,11,126102
22-2-1022-70380,19:49:00,19:49:15,12,69522
22-2-1022-70380,19:50:00,19:50:15,13,69702
22-2-1022-70380,19:52:00,19:52:15,14,69601
22-1-1-72120,20:02:00,20:02:15,1,69601
22-1-1-72120,20:04:00,20:04:15,2,69701
22-1-1-72120,20:05:00,20:05:15,3,69501
22-1-1-72120,20:07:00,20:08:15,4,126101
22-1-1-72120,20:09:00,20:09:15,5,125601
22-1-1-72120,20:10:00,20:10:15,6,125201
22-1-1-72120,20:11:00,20:11:15,7,427501
22-1-1-72120,20:12:00,20:12:15,8,427404
22-1-1-72120,20:13:00,20:13:15,9,427202
22-1-1-72120,20:15:00,20:15:15,10,679421
22-1-1-72120,20:16:00,20:16:15,11,679101
22-1-1-72120,20:18:00,20:18:15,12,119321
22-1-1-72120,20:20:00,20:20:15,13,116821
22-1-1-72120,20:21:00,20:21:15,14,114601
22-2-2022-77580,21:33:00,21:33:15,1,114602
22-2-2022-77580,21:34:00,21:34:15,2,116822
22-2-2022-77580,21:35:00,21:35:15,3,119322
22-2-2022-77580,21:36:00,21:36:15,4,679102
22-2-2022-77580,21:37:00,21:37:15,5,679422
22-2-2022-77580,21:39:00,21:39:15,6,427201
22-2-2022-77580,21:40:00,21:40:15,7,427403
22-2-2022-77580,21:42:00,21:42:15,8,427502
22-2-2022-77580,21:43:00,21:43:15,9,125202
22-2-2022-77580,21:44:00,21:44:15,10,125602
22-2-2022-77580,21:45:00,21:45:15,11,126102
22-2-2022-77580,21:47:00,21:47:15,12,69522
22-2-2022-77580,21:48:00,21:48:15,13,69702
22-2-2022-77580,21:50:00,21:50:15,14,69601
22-1-1-79320,22:02:00,22:02:15,1,69601
22-1-1-79320,22:04:00,22:04:15,2,69701
22-1-1-79320,22:05:00,22:05:15,3,69501
22-1-1-79320,22:07:00,22:08:15,4,126101
22-1-1-79320,22:09:00,22:09:15,5,125601
